Quotazioni Immobiliari : Valori di Mercato - Semestre 2005/1 - elaborazione del 30-MAG-19
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;20;Abitazioni civili;NORMALE;P;3480;4890;L;17,4;24,4;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;21;Abitazioni di tipo economico;NORMALE;P;2750;4130;L;13,8;20,7;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;16;Autorimesse;NORMALE;P;1950;2910;L;8,1;12,1;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;13;Box;NORMALE;P;2710;3810;L;11,3;15,9;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;14;Posti auto coperti;NORMALE;P;1620;2280;L;6,8;9,5;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;15;Posti auto scoperti;NORMALE;P;980;1370;L;4,1;5,7;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;1;Ville e Villini;NORMALE;P;4200;6300;L;21;31,5;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;9;Magazzini;NORMALE;P;3100;4650;L;15,5;23,2;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;5;Negozi;NORMALE;P;5830;8680;L;34;50,6;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;6;Uffici;NORMALE;P;3650;5130;L;19,8;27,8;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;18;Uffici strutturati;NORMALE;P;3830;5480;L;20,7;29,7;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;10;Laboratori;NORMALE;P;3160;4710;L;15,8;23,6;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B2;NA00000014;20;Abitazioni civili;NORMALE;P;2570;3530;L;12,9;17,7;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B2;NA00000014;21;Abitazioni di tipo economico;NORMALE;P;1850;2780;L;9,2;13,8;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B2;NA00000014;16;Autorimesse;NORMALE;P;1300;1770;L;5,4;7,4;N;
