Quotazioni Immobiliari : Valori di Mercato - Semestre 2004/1 - elaborazione del 30-MAG-19
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;20;Abitazioni civili;NORMALE; ;3040;4570;L;15,2;22,8;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;21;Abitazioni di tipo economico;NORMALE; ;2750;4130;L;13,8;20,6;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;16;Autorimesse;; ;1570;2360;L;6,5;9,7;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;13;Box;; ;2000;3000;L;8,3;12,4;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;14;Posti auto coperti;; ;1000;1500;L;4,2;6,2;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;15;Posti auto scoperti;; ;600;900;L;2,5;3,7;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;1;Ville e Villini;NORMALE; ;4200;6300;L;21;31,5;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;9;Magazzini;NORMALE; ;3100;4650;L;15,5;23,2;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;5;Negozi;NORMALE; ;5830;8680;L;34;50,6;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;6;Uffici;NORMALE; ;3040;4570;L;16,5;24,7;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;18;Uffici strutturati;NORMALE; ;3650;5480;L;19,8;29,7;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;10;Laboratori;NORMALE; ;3160;4710;L;15,8;23,6;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B2;NA00000014;20;Abitazioni civili;NORMALE; ;2470;3270;L;12,3;16,3;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B2;NA00000014;21;Abitazioni di tipo economico;NORMALE; ;1850;2780;L;9,2;13,8;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B2;NA00000014;16;Autorimesse;; ;890;1250;L;3,7;5,2;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B2;NA00000014;13;Box;; ;1490;2080;L;6,2;8,7;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B2;NA00000014;14;Posti auto coperti;; ;740;1040;L;3,1;4,3;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B2;NA00000014;15;Posti auto scoperti;; ;450;620;L;1,9;2,6;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B2;NA00000014;1;Ville e Villini;NORMALE; ;3550;4710;L;17,8;23,5;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B2;NA00000014;9;Magazzini;NORMALE; ;1550;2070;L;7,8;10,3;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B2;NA00000014;5;Negozi;NORMALE; ;2580;3870;L;15,1;22,6;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B2;NA00000014;7;Capannoni tipici;NORMALE; ;2070;2840;L;11,2;15,4;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B2;NA00000014;10;Laboratori;NORMALE; ;1810;2580;L;9;12,9;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B3;NA00002517;20;Abitazioni civili;NORMALE; ;3300;4950;L;16,5;24,7;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B3;NA00002517;21;Abitazioni di tipo economico;NORMALE; ;2970;4460;L;14,9;22,3;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B3;NA00002517;16;Autorimesse;; ;1370;1920;L;5,7;8;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B3;NA00002517;13;Box;; ;2280;3210;L;9,5;13,4;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B3;NA00002517;14;Posti auto coperti;; ;1140;1600;L;4,7;6,7;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B3;NA00002517;15;Posti auto scoperti;; ;680;960;L;2,8;4;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B3;NA00002517;1;Ville e Villini;NORMALE; ;4790;7180;L;23,9;35,8;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B3;NA00002517;9;Magazzini;NORMALE; ;3290;4900;L;16,5;24,5;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B3;NA00002517;5;Negozi;NORMALE; ;6130;9040;L;35,8;52,7;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B3;NA00002517;6;Uffici;NORMALE; ;3400;5100;L;18,4;27,6;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B3;NA00002517;18;Uffici strutturati;NORMALE; ;3910;5860;L;21,2;31,8;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B3;NA00002517;10;Laboratori;NORMALE; ;3350;5020;L;16,7;25,1;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B4;NA00002518;20;Abitazioni civili;NORMALE; ;3930;5900;L;19,7;29,5;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B4;NA00002518;21;Abitazioni di tipo economico;NORMALE; ;3120;4680;L;15,6;23,4;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B4;NA00002518;16;Autorimesse;; ;1250;1780;L;5,2;7,4;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B4;NA00002518;13;Box;; ;2080;2970;L;8,7;12,4;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B4;NA00002518;14;Posti auto coperti;; ;1040;1490;L;4,3;6,2;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B4;NA00002518;15;Posti auto scoperti;; ;620;890;L;2,6;3,7;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B4;NA00002518;1;Ville e Villini;NORMALE; ;4680;7020;L;23,4;35,1;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B4;NA00002518;9;Magazzini;NORMALE; ;4100;6100;L;20,5;30,5;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B4;NA00002518;5;Negozi;NORMALE; ;7400;11000;L;43,2;64,2;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B4;NA00002518;6;Uffici;NORMALE; ;3930;5900;L;21,3;32;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B4;NA00002518;10;Laboratori;NORMALE; ;5300;7900;L;26,5;39,5;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B5;NA00002519;20;Abitazioni civili;NORMALE; ;3090;4640;L;11,6;17,4;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B5;NA00002519;21;Abitazioni di tipo economico;NORMALE; ;2500;3750;L;9,4;14,1;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B5;NA00002519;16;Autorimesse;; ;750;1120;L;3,1;4,6;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B5;NA00002519;13;Box;; ;1240;1860;L;5,2;7,7;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B5;NA00002519;14;Posti auto coperti;; ;620;930;L;2,6;3,9;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B5;NA00002519;15;Posti auto scoperti;; ;373;560;L;1,6;2,3;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B5;NA00002519;1;Ville e Villini;NORMALE; ;3800;5700;L;15,8;23,7;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B5;NA00002519;9;Magazzini;NORMALE; ;1600;2400;L;7,3;11;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B5;NA00002519;5;Negozi;NORMALE; ;3000;4500;L;13,7;20,6;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B5;NA00002519;6;Uffici;NORMALE; ;3090;4640;L;10,3;15,5;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B5;NA00002519;18;Uffici strutturati;NORMALE; ;3710;5560;L;12,4;18,5;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B5;NA00002519;10;Laboratori;NORMALE; ;2140;3200;L;9,8;14,7;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B6;NA00003243;20;Abitazioni civili;NORMALE; ;4170;6250;L;17,4;26;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B6;NA00003243;21;Abitazioni di tipo economico;NORMALE; ;3950;5920;L;16,4;24,6;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B6;NA00003243;16;Autorimesse;; ;1780;2490;L;7,4;10,4;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B6;NA00003243;13;Box;; ;2970;4160;L;12,4;17,3;N;
