Quotazioni Immobiliari : Valori di Mercato - Semestre 2015/2 - elaborazione del 30-MAG-19
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B10;NA00005504;20;Abitazioni civili;NORMALE;P;2850;4300;L;7,2;10,7;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B10;NA00005504;21;Abitazioni di tipo economico;NORMALE;P;2000;3000;L;5;7,5;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B10;NA00005504;19;Abitazioni signorili;NORMALE;P;3300;5000;L;7,5;11,2;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B10;NA00005504;16;Autorimesse;NORMALE;P;1600;2450;L;5,4;8,1;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B10;NA00005504;13;Box;NORMALE;P;2300;3500;L;7,7;11,6;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B10;NA00005504;14;Posti auto coperti;NORMALE;P;1400;2100;L;4,7;7;L;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B10;NA00005504;15;Posti auto scoperti;NORMALE;P;1000;1500;L;3,4;5;L;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B10;NA00005504;1;Ville e Villini;NORMALE;P;2950;4500;L;7,4;11,2;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B10;NA00005504;9;Magazzini;NORMALE;P;800;1600;L;2,4;4,6;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B10;NA00005504;5;Negozi;NORMALE;P;2400;4800;L;8;16;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B10;NA00005504;5;Negozi;OTTIMO;;3900;7800;L;14,7;29,2;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B10;NA00005504;6;Uffici;NORMALE;P;2750;4200;L;6,9;10,5;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B10;NA00005504;7;Capannoni tipici;NORMALE;P;520;1050;L;2;3,9;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B10;NA00005504;10;Laboratori;NORMALE;P;1400;2800;L;4,1;8,1;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B11;NA00005505;20;Abitazioni civili;NORMALE;P;2350;3600;L;5,9;9;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B11;NA00005505;21;Abitazioni di tipo economico;NORMALE;P;1650;2550;L;4,2;6,3;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B11;NA00005505;19;Abitazioni signorili;NORMALE;P;2800;4300;L;6,3;9,6;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B11;NA00005505;13;Box;NORMALE;P;1900;2900;L;6,4;9,6;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B11;NA00005505;14;Posti auto coperti;NORMALE;P;1200;1800;L;4;6;L;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B11;NA00005505;9;Magazzini;NORMALE;P;650;1300;L;1,9;3,7;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B11;NA00005505;5;Negozi;NORMALE;P;2300;4600;L;7,7;15,3;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B12;NA00005506;20;Abitazioni civili;NORMALE;P;3300;5000;L;7,5;11,2;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B12;NA00005506;21;Abitazioni di tipo economico;NORMALE;P;2300;3500;L;5,8;8,7;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B12;NA00005506;19;Abitazioni signorili;NORMALE;P;4000;6000;L;9;13,5;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B12;NA00005506;16;Autorimesse;NORMALE;P;1900;2900;L;6,4;9,6;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B12;NA00005506;13;Box;NORMALE;P;2700;4100;L;9;13,6;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B12;NA00005506;14;Posti auto coperti;NORMALE;P;1750;2650;L;5,9;8,8;L;
