Quotazioni Immobiliari : Valori di Mercato - Semestre 2002/2 - elaborazione del 30-MAG-19
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;16;Autorimesse;NORMALE; ;1120;1560;N;4,6;6,5;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;13;Box;NORMALE; ;1860;2610;N;7,7;10,8;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;3;Fabbricati intensivi;NORMALE; ;2110;3100;N;10,5;15,5;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;2;Fabbricati non intensivi;NORMALE; ;2670;3410;N;13,3;17;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;14;Posti auto coperti;NORMALE; ;930;1300;N;3,9;5,4;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;15;Posti auto scoperti;NORMALE; ;560;780;N;2,3;3,3;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;1;Ville e Villini;NORMALE; ;3720;5270;N;18,6;26,3;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;9;Magazzini;NORMALE; ;3100;4650;N;15,5;23,2;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;5;Negozi;NORMALE; ;5830;8680;N;34;50,6;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;6;Uffici;NORMALE; ;2220;3100;N;12;16,8;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;18;Uffici strutturati;NORMALE; ;2580;3620;N;13,9;19,6;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;10;Laboratori;NORMALE; ;3160;4710;N;15,8;23,6;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B2;NA00000014;16;Autorimesse;NORMALE; ;780;1090;N;3,2;4,5;N;
