Quotazioni Immobiliari : Valori di Mercato - Semestre 2007/2 - elaborazione del 30-MAG-19
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;20;Abitazioni civili;NORMALE;P;4000;6000;L;10;15;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;21;Abitazioni di tipo economico;NORMALE;P;2700;4050;L;6,8;10,1;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;19;Abitazioni signorili;NORMALE;P;4880;7320;L;12,2;18,3;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;16;Autorimesse;NORMALE;P;2060;3090;L;6,9;10,3;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;13;Box;NORMALE;P;2820;4230;L;9,4;14,1;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;14;Posti auto coperti;NORMALE;P;1680;2520;L;5,6;8,4;L;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;15;Posti auto scoperti;NORMALE;P;1040;1560;L;3,5;5,2;L;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;1;Ville e Villini;NORMALE;P;4400;6600;L;11;16,5;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;9;Magazzini;NORMALE;P;1500;3000;L;5;10;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;5;Negozi;NORMALE;P;4500;9000;L;16,9;33,7;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;6;Uffici;NORMALE;P;4120;6180;L;15,5;23,1;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;18;Uffici strutturati;NORMALE;P;4280;6420;L;16,1;24;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;10;Laboratori;NORMALE;P;2630;5260;L;8,8;17,5;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B2;NA00000014;20;Abitazioni civili;NORMALE;P;2800;4200;L;7;10,5;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B2;NA00000014;21;Abitazioni di tipo economico;NORMALE;P;1920;2880;L;4,8;7,2;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B2;NA00000014;19;Abitazioni signorili;NORMALE;P;3440;5160;L;8,6;12,9;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B2;NA00000014;16;Autorimesse;NORMALE;P;1400;2100;L;4,7;7;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B2;NA00000014;13;Box;NORMALE;P;1940;2910;L;6,5;9,7;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B2;NA00000014;14;Posti auto coperti;NORMALE;P;1040;1560;L;3,5;5,2;L;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B2;NA00000014;15;Posti auto scoperti;NORMALE;P;620;930;L;2,1;3,1;L;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B2;NA00000014;9;Magazzini;NORMALE;P;940;1880;L;3,2;6,2;N;
