Quotazioni Immobiliari : Valori di Mercato - Semestre 2006/1 - elaborazione del 30-MAG-19
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;20;Abitazioni civili;NORMALE;P;3680;5520;L;17,3;23;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;21;Abitazioni di tipo economico;NORMALE;P;2900;4300;L;12,1;17,9;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;16;Autorimesse;NORMALE;P;2060;3090;L;7,8;11,6;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;13;Box;NORMALE;P;2850;4220;L;11,9;17,6;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;14;Posti auto coperti;NORMALE;P;1700;2500;L;7,1;10,4;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;15;Posti auto scoperti;NORMALE;P;1040;1560;L;4,3;6,4;L;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;1;Ville e Villini;NORMALE;P;4400;6600;L;18,3;27,5;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;9;Magazzini;NORMALE;P;3100;4650;L;14,2;21,3;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;5;Negozi;NORMALE;P;4500;9000;L;22,5;45;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;6;Uffici;NORMALE;P;3800;5700;L;19;28,5;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;18;Uffici strutturati;NORMALE;P;4000;6000;L;20;30;N;
