n;m;k_avg;streets_per_node_avg;edge_length_total;edge_length_avg;street_length_total;street_length_avg;circuity_avg;area;Zona;avg_betweenness;avg_closeness;avg_clustering
37.0;79.0;4.27027027027027;2.5675675675675675;15074.419999999998;190.81544303797466;7560.784000000001;189.01960000000003;1.08487050485988;1.475084160465774;D31;0.061861861861861864;0.13513110258853145;0.058823529411764705
;;;;;;;;;1.3219124920053276;R1;;;
31.0;45.0;2.903225806451613;2.3548387096774195;5634.623999999999;125.21386666666665;3316.9230000000007;127.57396153846156;1.0247107912643962;0.4068971236905918;D22;0.034556915090841675;0.0852058729767013;0.0
380.0;739.0;3.889473684210526;2.668421052631579;58038.35199999996;78.53633558863324;38497.116999999984;84.42350219298243;1.0834538551819224;2.901399481910886;E38;0.0107058910836164;0.02027705902260601;0.04366355704075002
94.0;169.0;3.595744680851064;2.4148936170212765;16461.255999999987;97.40388165680466;8930.496000000005;85.0523428571429;1.2017765013265154;1.1856800459183277;B17;0.0651502491719137;0.07204882049862368;0.06849816849816849
147.0;282.0;3.836734693877551;2.619047619047619;25956.46800000002;92.04421276595751;15339.943000000005;90.76889349112429;1.0473749227474345;1.9546836621717139;E48;0.04130315328776764;0.048240984921251215;0.027142857142857142
85.0;175.0;4.117647058823529;3.0;14963.948999999997;85.50827999999998;10065.395999999999;89.86960714285713;1.0544370836322834;0.6270962325485009;D25;0.07884816577233303;0.10707243320446322;0.04951086396869529
270.0;507.0;3.7555555555555555;2.6555555555555554;55084.024;108.64699013806705;33707.42399999999;100.02202967359048;1.1467362147573077;2.7598036003461273;E36;0.033082059754922205;0.033490149166561206;0.04045398009950248
240.0;460.0;3.8333333333333335;2.4625;44957.90099999997;97.73456739130428;25175.566999999985;91.88163138686126;1.0591744123729885;2.717639713020513;E35;0.018159596474573093;0.04133829320670801;0.03152482269503546
508.0;1035.0;4.074803149606299;2.781496062992126;92179.70700000004;89.06251884057974;60474.90199999991;89.0646568483062;1.1097853867646652;3.8985711620971064;E42;0.029573613738678388;0.04582013368610382;0.05340249948373518
77.0;138.0;3.5844155844155843;2.7142857142857144;17426.215000000004;126.2769202898551;10365.380000000001;123.39738095238097;1.1669979337256016;1.2383383032676678;D28;0.02856687172476646;0.060430276845216686;0.09954954954954955
116.0;251.0;4.327586206896552;2.7413793103448274;22982.644999999982;91.56432270916328;12426.190000000002;90.04485507246379;1.0474234400256068;1.2188584393522488;E3;0.0413562955364423;0.09100682842692477;0.05285984848484848
343.0;652.0;3.801749271137026;2.443148688046647;78768.65199999999;120.81081595092023;41490.03099999998;110.64008266666661;1.1073809581161533;8.312679007777538;E28;0.01874961907531812;0.02527133428344804;0.037459056246481395
247.0;553.0;4.477732793522267;2.6437246963562755;40135.37899999998;72.57753887884263;22862.763;73.27808653846154;1.0648014342994065;1.6698595485021992;E29;0.04771094178759685;0.0788864708471964;0.034974984365228265
385.0;736.0;3.8233766233766233;2.7532467532467533;33285.02699999997;45.22422146739127;23342.491000000005;46.22275445544555;1.0649811491929624;0.9168973444566332;B15;0.024699184355679134;0.03707413269127283;0.016066711066711068
307.0;598.0;3.8957654723127035;2.485342019543974;43509.347000000045;72.75810535117064;24311.86;71.5054705882353;1.0894010968353425;1.659776832669822;E31;0.01445667033478278;0.03537423239741806;0.0191834451901566
60.0;99.0;3.3;2.5;16683.889;168.5241313131313;10469.857000000004;171.63700000000006;1.0680325807049038;0.9122543583412155;C30;0.010106175725696474;0.06000210796867871;0.014124293785310734
144.0;259.0;3.5972222222222223;2.8333333333333335;12829.364999999983;49.534227799227736;9697.836999999996;53.579209944751355;1.0196949570466318;0.4514812777027438;C22;0.04208834006369218;0.05190084843182592;0.0
28.0;48.0;3.4285714285714284;2.5714285714285716;4050.1009999999997;84.37710416666665;2526.652;81.50490322580646;1.0931984636287757;0.1876188348175058;B18;0.11355311355311355;0.14802198617448523;0.0
